name,id,race,whatBuildsUnit,whatBuildsCount,requiredUnits,requiredTech,cloakingTech,abilities,upgrades,armorUpgrade,maxHitPoints,maxShields,maxEnergy,armor,mineralPrice,gasPrice,buildTime,supplyRequired,supplyProvided,spaceRequired,spaceProvided,buildScore,destroyScore,size,tileWidth,tileHeight,dimensionLeft,dimensionUp,dimensionRight,dimensionDown,width,height,seekRange,sightRange,groundWeapon,maxGroundHits,airWeapon,maxAirHits,topSpeed,acceleration,haltDistance,turnRadius,canProduce,canAttack,canMove,isFlyer,regeneratesHP,isSpellcaster,hasPermanentCloak,isInvincible,isOrganic,isMechanical,isRobotic,isDetector,isResourceContainer,isResourceDepot,isRefinery,isWorker,requiresPsi,requiresCreep,isTwoUnitsInOneEgg,isBurrowable,isCloakable,isBuilding,isAddon,isFlyingBuilding,isNeutral,isHero,isPowerup,isBeacon,isFlagBeacon,isSpecialBuilding,isSpell,producesCreep,producesLarva,isMineralField,isCritter,canBuildAddon,buildsWhat,researchesWhat,upgradesWhat
Hero_Gui_Montag,10,Terran,None,0,,None,None,Stim_Packs,"Terran_Infantry_Armor|Terran_Infantry_Weapons",Terran_Infantry_Armor,160,0,0,3,100,50,720,0,0,1,0,0,400,Small,1,1,11,7,11,14,23,22,96,224,Flame_Thrower_Gui_Montag,3,None,0,4.0,1,1,40,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Terran_Dropship,11,Terran,Terran_Starport,1,"Terran_Control_Tower=1|Terran_Starport=1",None,None,,Terran_Ship_Plating,Terran_Ship_Plating,150,0,0,1,100,100,750,4,0,255,8,300,600,Large,2,2,24,16,24,20,49,37,0,256,None,0,None,0,5.47,17,37756,20,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Terran_Battlecruiser,12,Terran,Terran_Starport,1,"Terran_Control_Tower=1|Terran_Physics_Lab=1|Terran_Starport=1",None,None,Yamato_Gun,"Terran_Ship_Plating|Terran_Ship_Weapons|Colossus_Reactor",Terran_Ship_Plating,500,0,200,3,400,300,2000,12,0,255,0,1200,2400,Large,2,2,37,29,37,29,75,59,0,352,ATS_Laser_Battery,1,ATA_Laser_Battery,1,2.5,27,7585,20,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Terran_Vulture_Spider_Mine,13,Terran,None,0,,None,None,,,Upgrade_60,20,0,0,0,1,0,1,0,0,255,0,0,25,Small,1,1,7,7,7,7,15,15,96,96,Spider_Mines,1,None,0,16.0,1,1,127,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Terran_Nuclear_Missile,14,Terran,Terran_Nuclear_Silo,1,Terran_Nuclear_Silo=1,None,None,,,Upgrade_60,100,0,0,0,200,200,1500,16,0,255,0,800,0,Independent,1,1,7,14,7,14,15,29,0,96,None,0,None,0,33.33,33,1103213,127,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Terran_Civilian,15,Terran,None,0,,None,None,,Terran_Infantry_Armor,Terran_Infantry_Armor,40,0,0,0,0,0,1,0,0,1,0,0,10,Small,1,1,8,9,8,10,17,20,0,224,None,0,None,0,4.0,1,1,40,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Sarah_Kerrigan,16,Terran,None,0,,None,Personnel_Cloaking,"Lockdown|Personnel_Cloaking","Terran_Infantry_Armor|Terran_Infantry_Weapons",Terran_Infantry_Armor,250,0,250,3,50,150,1500,0,0,1,0,0,700,Small,1,1,7,10,7,11,15,22,0,352,C_10_Canister_Rifle_Sarah_Kerrigan,1,C_10_Canister_Rifle_Sarah_Kerrigan,1,4.0,1,1,40,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Alan_Schezar,17,Terran,None,0,,None,None,,"Terran_Vehicle_Plating|Terran_Vehicle_Weapons",Terran_Vehicle_Plating,300,0,0,3,200,100,1200,0,0,2,0,0,800,Large,1,1,16,16,15,15,32,32,160,256,Twin_Autocannons_Alan_Schezar,1,Hellfire_Missile_Pack_Alan_Schezar,1,4.57,1,1,17,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Alan_Schezar_Turret,18,Terran,None,0,,None,None,,"Terran_Vehicle_Plating|Terran_Vehicle_Weapons",Terran_Vehicle_Plating,0,0,0,0,1,1,1,0,0,255,0,0,0,Independent,1,1,1,1,1,1,3,3,0,256,Twin_Autocannons_Alan_Schezar,1,Hellfire_Missile_Pack_Alan_Schezar,1,0.0,0,0,0,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Hero_Jim_Raynor_Vulture,19,Terran,None,0,,None,None,Spider_Mines,"Terran_Vehicle_Plating|Terran_Vehicle_Weapons",Terran_Vehicle_Plating,300,0,0,3,150,0,900,0,0,2,0,0,300,Medium,1,1,16,16,15,15,32,32,0,256,Fragmentation_Grenade_Jim_Raynor,1,None,0,6.4,100,14569,40,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Jim_Raynor_Marine,20,Terran,None,0,,None,None,Stim_Packs,"Terran_Infantry_Armor|Terran_Infantry_Weapons",Terran_Infantry_Armor,200,0,0,3,50,0,1,0,0,1,0,0,200,Small,1,1,8,9,8,10,17,20,0,224,Gauss_Rifle_Jim_Raynor,1,Gauss_Rifle_Jim_Raynor,1,4.0,1,1,40,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Tom_Kazansky,21,Terran,None,0,,None,Cloaking_Field,Cloaking_Field,"Terran_Ship_Plating|Terran_Ship_Weapons",Terran_Ship_Plating,500,0,250,4,400,200,1800,0,0,255,0,0,1600,Large,1,1,19,15,18,14,38,30,0,224,Burst_Lasers_Tom_Kazansky,1,Gemini_Missiles_Tom_Kazansky,1,6.67,67,21745,40,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Magellan,22,Terran,None,0,,None,None,"EMP_Shockwave|Defensive_Matrix|Irradiate",Terran_Ship_Plating,Terran_Ship_Plating,800,0,250,4,50,600,2400,0,0,255,0,0,2500,Large,2,2,32,33,32,16,65,50,0,320,None,0,None,0,5.0,50,5120,40,false,false,true,true,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Edmund_Duke_Tank_Mode,23,Terran,None,0,,None,None,Tank_Siege_Mode,"Terran_Vehicle_Plating|Terran_Vehicle_Weapons",Terran_Vehicle_Plating,400,0,0,3,300,200,1500,0,0,4,0,0,1400,Large,1,1,16,16,15,15,32,32,256,320,Arclite_Cannon_Edmund_Duke,1,None,0,4.0,1,1,13,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Edmund_Duke_Tank_Mode_Turret,24,Terran,None,0,,None,None,,"Terran_Vehicle_Plating|Terran_Vehicle_Weapons",Terran_Vehicle_Plating,0,0,0,0,1,1,1,0,0,255,0,0,0,Independent,1,1,1,1,1,1,3,3,0,320,Arclite_Cannon_Edmund_Duke,1,None,0,0.0,0,0,0,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Hero_Edmund_Duke_Siege_Mode,25,Terran,None,0,,None,None,Tank_Siege_Mode,"Terran_Vehicle_Plating|Terran_Vehicle_Weapons",Terran_Vehicle_Plating,400,0,0,3,300,200,1500,0,0,255,0,0,1400,Large,1,1,16,16,15,15,32,32,0,320,Arclite_Shock_Cannon_Edmund_Duke,1,None,0,0.0,1,1,40,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Edmund_Duke_Siege_Mode_Turret,26,Terran,None,0,,None,None,,"Terran_Vehicle_Plating|Terran_Vehicle_Weapons",Terran_Vehicle_Plating,0,0,0,0,1,1,1,0,0,255,0,0,0,Independent,1,1,1,1,1,1,3,3,384,320,Arclite_Shock_Cannon_Edmund_Duke,1,None,0,0.0,0,0,0,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Hero_Arcturus_Mengsk,27,Terran,None,0,,None,None,,"Terran_Ship_Plating|Terran_Ship_Weapons",Terran_Ship_Plating,1000,0,250,4,800,600,4800,0,0,255,0,0,4800,Large,2,2,37,29,37,29,75,59,0,256,ATS_Laser_Battery_Hero,1,ATA_Laser_Battery_Hero,1,2.5,27,7585,20,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Hyperion,28,Terran,None,0,,None,None,Yamato_Gun,"Terran_Ship_Plating|Terran_Ship_Weapons",Terran_Ship_Plating,850,0,250,4,800,600,2400,0,0,255,0,0,4800,Large,2,2,37,29,37,29,75,59,0,352,ATS_Laser_Battery_Hyperion,1,ATA_Laser_Battery_Hyperion,1,2.5,27,7585,20,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Norad_II,29,Terran,None,0,,None,None,Yamato_Gun,"Terran_Ship_Plating|Terran_Ship_Weapons",Terran_Ship_Plating,700,0,250,4,800,600,4800,0,0,255,0,0,4800,Large,2,2,37,29,37,29,75,59,0,352,ATS_Laser_Battery_Hero,1,ATA_Laser_Battery_Hero,1,2.5,27,7585,20,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Terran_Siege_Tank_Siege_Mode,30,Terran,Terran_Factory,1,"Terran_Factory=1|Terran_Machine_Shop=1",None,None,Tank_Siege_Mode,"Terran_Vehicle_Plating|Terran_Vehicle_Weapons",Terran_Vehicle_Plating,150,0,0,1,150,100,750,4,0,255,0,0,700,Large,1,1,16,16,15,15,32,32,0,320,Arclite_Shock_Cannon,1,None,0,0.0,1,1,40,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Terran_Siege_Tank_Siege_Mode_Turret,31,Terran,None,0,,None,None,,"Terran_Vehicle_Plating|Terran_Vehicle_Weapons",Terran_Vehicle_Plating,0,0,0,0,1,1,1,0,0,255,0,0,0,Independent,1,1,1,1,1,1,3,3,384,320,Arclite_Shock_Cannon,1,None,0,0.0,0,0,0,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Terran_Firebat,32,Terran,Terran_Barracks,1,"Terran_Barracks=1|Terran_Academy=1",None,None,Stim_Packs,"Terran_Infantry_Armor|Terran_Infantry_Weapons",Terran_Infantry_Armor,50,0,0,1,50,25,360,2,0,1,0,100,200,Small,1,1,11,7,11,14,23,22,96,224,Flame_Thrower,3,None,0,4.0,1,1,40,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Spell_Scanner_Sweep,33,Terran,None,0,,None,None,,,Upgrade_60,0,0,0,0,0,0,1,0,0,255,0,0,0,Independent,1,1,13,13,13,17,27,31,0,320,None,0,None,0,0.0,0,0,0,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,,,
Terran_Medic,34,Terran,Terran_Barracks,1,"Terran_Barracks=1|Terran_Academy=1",None,None,"Restoration|Optical_Flare|Healing","Terran_Infantry_Armor|Caduceus_Reactor",Terran_Infantry_Armor,60,0,200,1,50,25,450,2,0,1,0,125,250,Small,1,1,8,9,8,10,17,20,288,288,None,0,None,0,4.0,1,1,40,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Larva,35,Zerg,Zerg_Hatchery,1,Zerg_Hatchery=1,None,None,,Zerg_Carapace,Zerg_Carapace,25,0,0,10,1,1,1,0,0,255,0,0,10,Small,1,1,8,8,7,7,16,16,0,128,None,0,None,0,0.0,1,1,20,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Zerg_Defiler|Zerg_Drone|Zerg_Hydralisk|Zerg_Mutalisk|Zerg_Overlord|Zerg_Queen|Zerg_Scourge|Zerg_Ultralisk|Zerg_Zergling",,
Zerg_Egg,36,Zerg,Zerg_Larva,1,Zerg_Larva=1,None,None,,Zerg_Carapace,Zerg_Carapace,200,0,0,10,1,1,1,0,0,255,0,0,25,Medium,1,1,16,16,15,15,32,32,0,128,None,0,None,0,0.0,0,0,0,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Zergling,37,Zerg,Zerg_Larva,1,"Zerg_Larva=1|Zerg_Spawning_Pool=1",None,None,Burrowing,"Zerg_Carapace|Zerg_Melee_Attacks|Metabolic_Boost|Adrenal_Glands",Zerg_Carapace,35,0,0,0,50,0,420,1,0,1,0,25,50,Small,1,1,8,4,7,11,16,16,96,160,Claws,1,None,0,5.49,1,1,27,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Hydralisk,38,Zerg,Zerg_Larva,1,"Zerg_Hydralisk_Den=1|Zerg_Larva=1",None,None,Burrowing,"Zerg_Carapace|Zerg_Missile_Attacks|Muscular_Augments|Grooved_Spines",Zerg_Carapace,80,0,0,0,75,25,420,2,0,2,0,125,350,Medium,1,1,10,10,10,12,21,23,0,192,Needle_Spines,1,Needle_Spines,1,3.66,1,1,27,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Zerg_Lurker,,
Zerg_Ultralisk,39,Zerg,Zerg_Larva,1,"Zerg_Larva=1|Zerg_Ultralisk_Cavern=1",None,None,,"Zerg_Carapace|Zerg_Melee_Attacks|Chitinous_Plating|Anabolic_Synthesis",Zerg_Carapace,400,0,0,1,200,200,900,8,0,4,0,650,1300,Large,2,2,19,16,18,15,38,32,96,224,Kaiser_Blades,1,None,0,5.12,1,1,40,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Broodling,40,Zerg,None,0,,None,None,,"Zerg_Carapace|Zerg_Melee_Attacks",Zerg_Carapace,30,0,0,0,1,1,1,0,0,1,0,0,25,Small,1,1,9,9,9,9,19,19,96,160,Toxic_Spores,1,None,0,6.0,1,1,27,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Drone,41,Zerg,Zerg_Larva,1,Zerg_Larva=1,None,None,Burrowing,Zerg_Carapace,Zerg_Carapace,40,0,0,0,50,0,300,2,0,1,0,50,100,Small,1,1,11,11,11,11,23,23,0,224,Spines,1,None,0,4.92,67,12227,40,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Zerg_Creep_Colony|Zerg_Defiler_Mound|Zerg_Evolution_Chamber|Zerg_Extractor|Zerg_Hatchery|Zerg_Hydralisk_Den|Zerg_Nydus_Canal|Zerg_Queens_Nest|Zerg_Spawning_Pool|Zerg_Spire|Zerg_Ultralisk_Cavern",,
Zerg_Overlord,42,Zerg,Zerg_Larva,1,Zerg_Larva=1,None,None,,"Zerg_Flyer_Carapace|Ventral_Sacs|Antennae|Pneumatized_Carapace",Zerg_Flyer_Carapace,200,0,0,0,100,0,600,0,16,255,8,100,200,Large,2,2,25,25,24,24,50,50,0,288,None,0,None,0,0.83,27,840,20,false,false,true,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Mutalisk,43,Zerg,Zerg_Larva,1,"Zerg_Spire=1|Zerg_Larva=1",None,None,,"Zerg_Flyer_Carapace|Zerg_Flyer_Attacks",Zerg_Flyer_Carapace,120,0,0,0,100,100,600,4,0,255,0,300,600,Small,2,2,22,22,21,21,44,44,96,224,Glave_Wurm,1,Glave_Wurm,1,6.67,67,21745,40,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Zerg_Guardian|Zerg_Devourer",,
Zerg_Guardian,44,Zerg,Zerg_Mutalisk,1,"Zerg_Greater_Spire=1|Zerg_Mutalisk=1",None,None,,"Zerg_Flyer_Carapace|Zerg_Flyer_Attacks",Zerg_Flyer_Carapace,150,0,0,2,50,100,600,4,0,255,0,550,1100,Large,2,2,22,22,21,21,44,44,0,352,Acid_Spore,1,None,0,2.5,27,7585,20,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Queen,45,Zerg,Zerg_Larva,1,"Zerg_Queens_Nest=1|Zerg_Larva=1",None,None,"Infestation|Spawn_Broodlings|Ensnare|Parasite","Zerg_Flyer_Carapace|Gamete_Meiosis",Zerg_Flyer_Carapace,120,0,200,0,100,100,750,4,0,255,0,400,800,Medium,2,2,24,24,23,23,48,48,256,320,None,0,None,0,6.67,67,21745,40,false,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Defiler,46,Zerg,Zerg_Larva,1,"Zerg_Defiler_Mound=1|Zerg_Larva=1",None,None,"Burrowing|Dark_Swarm|Plague|Consume","Zerg_Carapace|Metasynaptic_Node",Zerg_Carapace,80,0,200,1,50,150,750,4,0,2,0,225,450,Medium,1,1,13,12,13,12,27,25,0,320,None,0,None,0,4.0,1,1,27,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Scourge,47,Zerg,Zerg_Larva,1,"Zerg_Spire=1|Zerg_Larva=1",None,None,,Zerg_Flyer_Carapace,Zerg_Flyer_Carapace,25,0,0,0,25,75,450,1,0,255,0,100,200,Small,1,1,12,12,11,11,24,24,96,160,None,0,Suicide_Scourge,1,6.67,107,13616,40,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
Hero_Torrasque,48,Zerg,None,0,,None,None,,"Zerg_Carapace|Zerg_Melee_Attacks",Zerg_Carapace,800,0,0,4,400,400,1800,0,0,4,0,0,2600,Large,2,2,19,16,18,15,38,32,96,224,Kaiser_Blades_Torrasque,1,None,0,5.12,1,1,40,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Hero_Matriarch,49,Zerg,None,0,,None,None,"Infestation|Spawn_Broodlings|Ensnare|Parasite",Zerg_Flyer_Carapace,Zerg_Flyer_Carapace,300,0,250,3,200,300,1500,0,0,255,0,0,1600,Medium,2,2,24,24,23,23,48,48,256,320,None,0,None,0,6.67,67,21745,40,false,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,
Zerg_Infested_Terran,50,Zerg,Zerg_Infested_Command_Center,1,Zerg_Infested_Command_Center=1,None,None,Burrowing,Zerg_Carapace,Zerg_Carapace,60,0,0,0,100,50,600,2,0,1,0,200,400,Small,1,1,8,9,8,10,17,20,96,160,Suicide_Infested_Terran,1,None,0,5.82,1,1,40,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,
